SpeciesCode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALFL,1,NA,5,2,NA,2,5,1,7,4,3,1,1,NA,1,NA,NA,1
AMGO,1,4,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1
AMKE,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
AMRE,2,1,NA,NA,2,2,7,2,3,1,1,NA,NA,1,NA,NA,NA,NA
AMRO,29,35,34,44,37,40,27,41,27,36,37,14,7,36,19,11,12,9
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BANS,NA,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
BAOR,4,7,6,1,6,3,1,6,NA,1,2,1,3,6,2,1,NA,NA
BARS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
BAWW,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBMA,1,NA,2,3,2,3,1,1,2,1,1,2,NA,NA,1,NA,NA,1
BCCH,3,NA,2,2,1,2,2,NA,NA,NA,NA,2,NA,1,NA,NA,1,1
BEKI,1,NA,NA,1,3,1,3,NA,NA,4,2,NA,NA,1,NA,NA,NA,NA
BHCO,5,3,7,8,4,8,2,4,5,4,1,2,1,7,3,5,3,8
BHVI,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLPW,31,2,1,1,NA,NA,4,7,6,4,3,NA,NA,NA,1,1,2,2
BRBL,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
BRSP,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRTH,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
CCSP,15,9,10,11,6,65,18,45,57,17,18,19,6,10,5,17,6,63
CEDW,3,NA,13,8,13,2,4,3,59,1,25,3,9,25,NA,NA,4,NA
CHSP,4,6,1,NA,6,112,16,31,26,4,53,3,23,5,8,7,8,19
COGR,NA,NA,NA,2,2,3,NA,1,1,NA,2,NA,NA,1,NA,NA,NA,NA
COHA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
CONW,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
COSN,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
COYE,22,6,12,4,6,2,7,4,18,2,3,1,1,2,2,2,1,1
DEJU,1,NA,NA,NA,1,NA,1,2,NA,1,NA,2,NA,1,NA,NA,1,NA
DOWO,5,1,1,4,1,4,1,3,4,2,4,5,2,1,2,4,1,1
EAKI,NA,3,1,2,3,2,NA,NA,1,1,NA,1,1,2,1,NA,NA,1
EAPH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
EUST,1,NA,3,2,33,14,2,11,5,10,9,22,10,40,21,4,29,30
FOSP,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
GCKI,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTH,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
GRCA,13,15,12,11,10,9,19,14,6,8,14,12,1,10,NA,NA,NA,1
HAWO,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,NA,2
HETH,2,2,1,2,NA,2,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA
HOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,NA
HOWR,13,17,10,14,11,20,30,23,21,11,5,18,8,16,14,13,7,14
KILL,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAZB,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LEFL,17,6,7,7,5,16,20,25,16,11,7,3,2,4,2,2,5,2
LISP,21,32,37,44,16,23,34,67,58,38,28,16,4,11,28,14,21,44
MAGO,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALL,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,NA
MAWA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MERL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MGWA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NOFL,1,NA,1,1,NA,1,2,2,NA,1,1,5,NA,1,3,NA,1,3
NOWA,8,3,7,2,3,4,1,5,3,3,4,6,NA,6,1,1,2,NA
NRWS,5,NA,4,5,4,3,5,9,6,4,NA,2,NA,5,3,8,9,4
OCWA,18,6,12,18,1,18,24,11,11,21,6,4,NA,3,1,NA,NA,4
OSFL,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OVEN,NA,NA,1,1,1,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
PAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
PHVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
RBGR,1,NA,NA,NA,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
RBNU,1,NA,4,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
RCKI,NA,2,NA,NA,3,1,3,1,NA,5,NA,1,NA,NA,NA,NA,NA,1
REVI,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
RNSA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUHU,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWBL,3,6,1,8,5,4,1,1,1,3,6,NA,NA,1,1,3,3,3
SAVS,3,NA,3,2,2,NA,5,16,3,5,1,4,NA,1,NA,2,1,6
SOSA,1,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOSP,3,1,9,7,NA,2,2,3,7,2,NA,6,NA,3,4,4,6,NA
SPSA,2,NA,2,NA,1,NA,NA,2,2,1,NA,2,2,7,6,4,4,5
SPTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
SSHA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
SWTH,54,38,49,26,46,45,45,55,82,64,44,18,18,39,17,12,7,9
TEWA,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,1
TOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
TRES,18,6,10,18,16,12,25,37,19,11,9,20,16,15,24,30,87,28
TRFL,5,5,1,3,1,6,NA,10,26,9,4,1,NA,NA,1,1,1,NA
VATH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VEER,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
VGSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,4
WAVI,4,2,NA,NA,1,3,3,4,5,1,1,1,2,5,2,1,2,NA
WBNU,2,NA,NA,NA,2,1,NA,NA,1,2,1,2,NA,2,4,1,2,NA
WCSP,6,7,8,42,17,18,13,10,9,4,5,2,NA,2,1,2,4,3
WETA,1,NA,6,1,NA,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
WEWP,5,1,5,NA,4,4,1,13,1,1,NA,NA,3,5,NA,NA,NA,1
WIFL,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
WISN,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIWA,4,1,3,NA,3,3,2,3,3,NA,1,2,NA,NA,NA,NA,NA,NA
WODU,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
WTSP,5,2,7,7,2,2,13,7,6,1,4,1,NA,3,8,NA,3,1
YBFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
YEWA,35,20,13,20,21,23,12,23,46,12,14,7,10,12,4,11,6,13
YRWA,252,100,136,43,46,63,233,215,32,206,82,47,1,2,24,14,48,131
YWAR,35,20,13,20,21,23,12,23,46,12,14,7,10,12,4,11,6,13
NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
