SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LGPL,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIGU,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LISP,90,62,109,157,158,115,145,92,113,140,178,140,NA,142,185,208,251,259,220,234,193,206,131,186,134
LOSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOWA,1,2,3,6,2,3,2,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTDU,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGO,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALL,0,0,0,0,0,0,0,0,0,0,0,13,NA,0,0,0,0,0,0,0,0,0,0,0,0
MAWA,336,242,420,555,457,469,555,288,428,375,487,535,NA,389,498,549,396,550,361,509,409,371,304,332,369
MAWR,0,4,2,4,2,0,2,0,0,1,1,0,NA,1,5,1,0,10,5,10,5,0,0,2,0
MERL,1,1,0,0,1,0,0,0,0,0,0,1,NA,1,2,0,1,0,1,0,1,0,1,0,2
MIKI,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MODO,8,11,4,14,14,13,6,16,5,8,32,32,NA,56,56,33,25,13,33,27,22,45,15,13,11
MOWA,34,43,35,53,42,40,27,9,26,35,23,36,NA,29,65,55,45,44,48,44,26,29,20,25,23
MUSW,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
NAWA,120,88,110,56,115,62,59,40,59,48,124,107,NA,51,136,108,119,152,234,79,55,109,37,82,136
NECO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NESP,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
NHOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOCA,33,36,42,20,31,18,30,63,17,39,60,24,NA,34,34,77,51,16,536,23,101,56,102,47,51
NOFL,65,57,84,53,87,70,28,39,9,20,27,30,NA,29,88,35,36,36,113,29,37,35,27,33,19
NOGO,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOHA,0,0,0,0,0,0,0,0,0,0,1,0,NA,2,0,0,0,0,0,0,0,0,0,0,0
NOMO,0,1,1,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOPA,3,3,6,1,0,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOPI,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0
NOWA,15,24,69,109,23,40,29,24,14,43,36,28,NA,31,47,33,63,54,33,58,44,74,45,82,62
NRWS,3,1,6,0,2,0,0,1,1,4,8,8,NA,7,13,0,0,2,6,4,8,6,5,9,8
NSHO,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSHR,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSTS,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
NSWO,0,2,NA,NA,0,0,NA,0,NA,NA,3,NA,NA,1,NA,1,0,0,3,NA,1,1,0,NA,0
OCWA,4,2,9,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
OLWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OROR,4,3,5,1,11,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSFL,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSPR,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
OTHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OVEN,71,90,146,65,101,73,87,74,54,99,88,106,NA,114,113,72,135,108,89,131,77,70,94,64,97
PABU,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
PAJA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAWA,40,35,72,54,42,31,43,36,NA,74,40,75,NA,64,142,56,NA,NA,NA,120,125,NA,69,72,98
PBGR,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
PEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEFA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PESA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA
PHVI,24,26,26,38,15,24,35,18,33,18,24,30,NA,19,29,50,45,22,69,42,36,33,31,47,47
PIPL,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PISI,0,0,NA,12,0,4,0,2,0,2,0,1,NA,1,72,0,63,2,24,0,79,6,1,5,8
PIWA,2,8,3,3,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIWO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAW,2,1,1,0,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
PROW,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
PUFI,0,6,11,0,2,9,2,6,0,6,13,8,NA,19,37,10,82,2,56,4,26,28,44,5,68
PUMA,0,0,0,0,0,1,0,3,1,7,6,3,NA,4,5,1,0,2,3,0,2,0,1,4,0
RBGR,93,66,66,36,72,47,48,50,45,108,141,196,NA,226,194,130,383,241,200,272,230,161,151,221,193
RBGU,0,0,0,0,0,0,0,1,0,0,0,1,NA,63,13,9,0,0,0,0,0,0,0,0,1
RBME,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0
RBNU,6,107,3,30,0,31,12,30,1,7,30,37,NA,69,8,10,33,5,139,8,1,1,56,2,448
RBWO,1,6,4,0,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCKI,536,416,402,640,451,694,256,519,360,275,504,606,NA,306,577,359,321,397,364,252,403,508,410,561,750
RECR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REDH,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
REKN,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REVI,54,76,88,88,86,71,52,84,80,129,63,108,NA,86,129,102,169,86,144,144,122,122,27,95,134
RHWO,8,12,8,1,10,6,3,NA,7,NA,8,3,NA,9,6,16,13,7,40,10,5,14,13,11,14
RIPH,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLHA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RNDU,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
RNGR,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RNPH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RODO,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
ROPI,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
RSHA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RTHA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
RTHU,94,54,152,3,203,135,0,6,27,6,33,69,NA,62,97,76,124,75,51,122,24,0,0,3,0
RTLO,0,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUBL,1,4,6,8,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUDU,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
RUGR,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUTU,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0
RWBL,268,260,416,340,374,301,422,318,278,443,964,615,NA,668,1078,774,732,785,457,586,878,911,624,820,682
SACR,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAND,0,0,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,1,0,0,0,0
SAPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAVS,27,21,39,34,39,33,20,31,27,10,43,44,NA,33,113,35,68,47,58,88,40,46,38,51,28
SBDO,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
SCTA,11,5,3,15,7,3,8,16,16,17,9,9,NA,13,47,9,25,10,34,67,30,37,12,18,33
SEOW,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEPL,0,0,0,0,0,0,5,0,0,0,0,0,NA,0,4,0,0,0,0,0,0,0,0,0,0
SESA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0
SEWR,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNBU,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNEG,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNGO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SORA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOSA,0,0,1,0,0,0,3,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0
SOSP,207,250,168,233,159,225,81,200,74,134,189,166,NA,136,359,110,217,140,371,206,211,230,110,449,183
SOVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPSA,3,2,1,0,0,2,8,0,0,0,0,0,NA,2,5,1,1,2,0,0,1,0,2,1,1
SSHA,6,6,3,6,3,1,4,1,1,0,1,3,NA,3,3,4,5,2,5,3,2,2,0,0,0
STKI,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUSC,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUTA,1,NA,NA,NA,0,0,0,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWSP,80,109,234,208,95,152,119,113,46,96,137,84,NA,50,150,77,124,146,88,97,215,133,107,168,163
SWTH,66,99,112,118,79,89,113,68,89,118,97,124,NA,66,193,179,143,188,167,181,123,136,80,221,89
SWWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
TEWA,29,8,6,33,9,8,26,7,3,14,4,17,NA,2,24,16,18,32,18,44,26,38,15,18,71
THGU,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRES,27,18,23,26,18,16,19,8,21,34,103,NA,NA,27,42,19,14,24,22,34,33,25,18,74,22
TRFL,82,48,62,99,122,88,72,91,86,124,131,122,NA,107,215,199,179,167,120,174,181,83,69,109,80
TRHE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUS,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUSW,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,NA
TUTI,NA,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUVU,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
UNAC,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNDD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNDO,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,0,NA
UNDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNKN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNME,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
UNSC,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNWA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
UNYE,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,5,0,0,0,0,0,0,NA
UPSA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USCA,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
VABU,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEER,47,34,77,66,77,45,59,34,26,61,61,79,NA,57,75,51,82,99,54,62,72,41,56,45,39
VEFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VESP,3,0,1,2,3,5,0,4,0,1,0,6,NA,0,4,1,6,1,0,1,3,0,1,1,3
VIRA,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
WAVI,11,23,23,22,34,17,13,33,26,25,42,45,NA,45,47,33,53,51,91,63,36,54,41,47,54
WBNU,1,28,1,10,0,10,0,6,0,0,6,9,NA,10,0,2,10,0,13,0,12,2,30,2,9
WCSP,258,216,184,240,427,259,217,163,250,289,NA,NA,NA,NA,NA,414,521,NA,436,539,343,NA,332,176,237
WEKI,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WETA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEVI,4,2,2,2,9,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
WEWA,NA,3,NA,1,4,0,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,1
WFIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHIM,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIFL,2,0,0,0,0,4,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
WILL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WISN,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,3,0,0,0,0,0,0,0,0,0
WITU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIWA,82,68,82,141,119,166,127,52,57,103,65,83,NA,81,123,120,122,76,71,101,128,53,68,125,66
WIWR,53,79,54,86,115,55,19,18,20,20,59,45,NA,76,35,40,22,22,16,39,14,61,NA,NA,NA
WODU,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
WOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOTH,40,48,38,56,49,39,49,31,26,48,55,84,NA,36,57,44,49,51,61,64,58,40,45,38,23
WPWI,0,3,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WRSA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WTSP,771,1060,1162,1334,926,1012,1001,1077,669,1210,1501,1794,NA,1027,2085,1232,2174,1684,1513,1338,1414,1597,1044,1230,997
WWCR,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WWDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WWSC,0,0,0,0,0,0,0,0,0,0,0,11,NA,0,0,0,0,0,0,0,0,0,0,0,0
YBCH,9,15,2,1,6,4,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
YBCU,1,1,0,0,2,0,1,2,0,5,3,2,NA,3,3,2,4,5,7,3,3,2,0,4,3
YBFL,77,82,49,32,49,41,54,41,52,86,70,81,NA,78,101,105,109,87,86,142,146,60,41,84,79
YBLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YBSA,5,9,26,25,16,32,6,6,8,13,32,17,NA,14,23,23,24,22,16,9,9,35,19,8,10
YCNH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEWA,185,147,191,422,351,169,302,205,224,422,406,573,NA,449,633,456,507,679,552,445,571,539,363,486,304
YHBL,NA,1,0,1,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
YRWA,83,243,194,229,358,97,131,78,103,312,174,356,NA,149,373,NA,560,590,565,225,266,379,338,227,202
YTVI,2,2,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YTWA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YWAR,185,147,191,422,351,169,302,205,224,422,406,573,NA,449,633,456,507,679,552,445,571,539,363,486,304
NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
